player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,1716.0,1864.0,92.1,26189.0,8717.0,882.0,921.0,95.8,750.0,796.0,94.2,43.0,85.0,50.6,2,1.2,1.1,0.8,10.0,148.0,5.0,1.0,116.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,372.0,481.0,77.3,5109.0,1318.0,239.0,275.0,86.9,101.0,133.0,75.9,14.0,28.0,50.0,2,2.6,2.5,-0.6,21.0,20.0,24.0,6.0,45.0
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,620.0,801.0,77.4,10224.0,3150.0,314.0,346.0,90.8,247.0,298.0,82.9,48.0,111.0,43.2,0,2.2,2.1,-2.2,17.0,30.0,14.0,12.0,28.0
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,277.0,350.0,79.1,4318.0,1253.0,148.0,163.0,90.8,109.0,133.0,82.0,14.0,37.0,37.8,0,0.4,0.4,-0.4,6.0,15.0,4.0,2.0,20.0
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,7.0,8.0,87.5,83.0,45.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,645.0,833.0,77.4,9118.0,2859.0,380.0,444.0,85.6,196.0,246.0,79.7,32.0,69.0,46.4,4,3.5,3.4,0.5,38.0,64.0,38.0,3.0,93.0
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,16.0,17.0,94.1,280.0,65.0,7.0,8.0,87.5,7.0,7.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,158.0,185.0,85.4,2723.0,717.0,61.0,73.0,83.6,76.0,81.0,93.8,14.0,19.0,73.7,0,0.0,0.1,0.0,0.0,16.0,0.0,0.0,13.0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,220.0,263.0,83.7,3557.0,826.0,113.0,128.0,88.3,95.0,104.0,91.3,12.0,15.0,80.0,0,0.1,0.2,-0.1,1.0,14.0,0.0,0.0,10.0
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,8.0,9.0,88.9,85.0,20.0,2.0,3.0,66.7,3.0,3.0,100.0,0.0,0.0,0.0,0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,611.0,711.0,85.9,10584.0,3879.0,275.0,302.0,91.1,277.0,307.0,90.2,50.0,79.0,63.3,0,0.3,0.4,-0.3,5.0,71.0,2.0,0.0,55.0
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,810.0,904.0,89.6,12977.0,4997.0,447.0,464.0,96.3,297.0,330.0,90.0,49.0,84.0,58.3,1,0.7,0.8,0.3,10.0,56.0,5.0,0.0,51.0
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,1303.0,1679.0,77.6,20459.0,6568.0,711.0,797.0,89.2,442.0,538.0,82.2,104.0,239.0,43.5,7,4.7,4.8,2.3,64.0,172.0,48.0,4.0,212.0
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,1095.0,1272.0,86.1,22569.0,8497.0,295.0,325.0,90.8,663.0,714.0,92.9,130.0,206.0,63.1,1,0.8,0.6,0.2,3.0,64.0,1.0,0.0,62.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,7.0,10.0,70.0,130.0,30.0,3.0,3.0,100.0,3.0,4.0,75.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,143.0,165.0,86.7,2573.0,754.0,68.0,79.0,86.1,56.0,62.0,90.3,17.0,19.0,89.5,1,0.1,0.4,0.9,2.0,20.0,4.0,0.0,27.0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,1271.0,1582.0,80.3,23608.0,6666.0,577.0,637.0,90.6,487.0,558.0,87.3,167.0,303.0,55.1,1,1.4,1.6,-0.4,23.0,151.0,16.0,3.0,154.0
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,678.0,1056.0,64.2,16564.0,7319.0,155.0,199.0,77.9,351.0,441.0,79.6,167.0,384.0,43.5,1,1.0,0.8,0.0,13.0,98.0,14.0,1.0,98.0
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,245.0,481.0,50.9,4241.0,1711.0,117.0,163.0,71.8,70.0,147.0,47.6,39.0,104.0,37.5,2,1.3,2.8,0.7,16.0,17.0,25.0,22.0,31.0
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,308.0,396.0,77.8,5315.0,1146.0,144.0,169.0,85.2,114.0,138.0,82.6,38.0,59.0,64.4,1,1.6,1.0,-0.6,18.0,31.0,3.0,2.0,23.0
