player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Zack Nelson,ENG,"MF,DF",Luton Town,Premier League,18,2004,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Neto,BRA,GK,Bournemouth,Premier League,34,1989,32.0,5,0,0,1,0,0,0,1,0,0.0,0.0,0,38.0,9.0,0.0,100.0
Pedro Neto,POR,"FW,MF",Wolves,Premier League,23,2000,16.8,4,0,0,15,21,2,115,5,3,1.0,0.0,0,79.0,4.0,18.0,18.2
Luca Netz,GER,DF,Gladbach,Bundesliga,20,2003,24.7,2,0,0,26,16,1,74,22,22,0.0,2.0,0,130.0,37.0,29.0,56.1
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,37,1986,22.8,1,0,0,1,2,0,0,0,1,0.0,1.0,0,31.0,6.0,3.0,66.7
Florian Neuhaus,GER,MF,Gladbach,Bundesliga,26,1997,13.6,4,0,0,9,18,0,10,14,12,0.0,0.0,0,70.0,7.0,7.0,50.0
Carlos Neva,ESP,DF,Granada,La Liga,27,1996,35.0,4,0,0,22,44,0,83,30,21,0.0,0.0,0,135.0,27.0,31.0,46.6
Jessic Ngankam,GER,"FW,MF",Mainz 05,Bundesliga,23,2000,2.0,0,1,0,8,3,1,1,3,1,0.0,0.0,0,7.0,2.0,7.0,22.2
Jessic Ngankam,GER,FW,Eint Frankfurt,Bundesliga,23,2000,3.1,2,0,0,11,7,2,0,0,2,0.0,0.0,0,11.0,3.0,14.0,17.6
Cyril Ngonge,BEL,"FW,MF",Hellas Verona,Serie A,23,2000,15.9,4,0,0,31,22,3,51,4,9,0.0,0.0,0,55.0,24.0,42.0,36.4
Cyril Ngonge,BEL,FW,Napoli,Serie A,23,2000,3.5,2,0,0,2,10,1,20,0,3,0.0,0.0,0,16.0,4.0,2.0,66.7
Steve Ngoura,FRA,"FW,MF",Le Havre,Ligue 1,18,2005,2.5,0,0,0,6,1,2,1,0,1,0.0,0.0,0,12.0,3.0,10.0,23.1
Moussa Niakhate,SEN,DF,Nott'ham Forest,Premier League,27,1996,16.2,5,1,1,11,4,0,11,14,25,0.0,0.0,0,98.0,15.0,5.0,75.0
M'Baye Niang,SEN,FW,Empoli,Serie A,28,1994,7.9,1,0,0,15,24,9,4,3,1,0.0,0.0,0,14.0,24.0,38.0,38.7
Tanguy Nianzou,FRA,DF,Sevilla,La Liga,21,2002,3.5,3,0,0,6,4,0,0,3,8,0.0,0.0,0,18.0,4.0,5.0,44.4
Shamar Nicholson,JAM,FW,Clermont Foot,Ligue 1,26,1997,16.5,2,0,0,20,26,14,6,0,2,2.0,0.0,0,36.0,47.0,60.0,43.9
Rasmus Nicolaisen,DEN,DF,Toulouse,Ligue 1,26,1997,32.5,6,1,1,45,22,0,0,42,30,0.0,2.0,0,150.0,108.0,36.0,75.0
Moritz Nicolas,GER,GK,Gladbach,Bundesliga,25,1997,27.0,2,0,0,1,2,0,0,0,0,0.0,1.0,0,35.0,10.0,0.0,100.0
Hans Nicolussi Caviglia,ITA,MF,Juventus,Serie A,23,2000,3.0,1,0,0,1,10,0,18,0,2,0.0,0.0,0,18.0,2.0,2.0,50.0
Saúl Ñíguez,ESP,MF,Atlético Madrid,La Liga,28,1994,15.3,10,1,1,41,14,2,16,14,39,0.0,0.0,0,72.0,47.0,32.0,59.5
Justin Njinmah,GER,FW,Werder Bremen,Bundesliga,22,2000,11.3,1,0,0,6,20,9,10,2,1,0.0,0.0,0,34.0,8.0,15.0,34.8
Eddie Nketiah,ENG,FW,Arsenal,Premier League,24,1999,12.0,3,0,0,24,28,8,5,4,7,2.0,0.0,0,24.0,23.0,27.0,46.0
Niels Nkounkou,FRA,"DF,MF",Eint Frankfurt,Bundesliga,22,2000,14.5,5,1,1,27,2,0,53,16,30,0.0,1.0,0,102.0,17.0,27.0,38.6
Christopher Nkunku,FRA,"FW,MF",Chelsea,Premier League,25,1997,4.9,0,0,0,8,7,3,4,2,4,0.0,0.0,0,12.0,10.0,6.0,62.5
Felix Nmecha,GER,MF,Dortmund,Bundesliga,22,2000,11.3,3,0,0,9,27,1,3,11,13,0.0,0.0,0,47.0,20.0,8.0,71.4
Lukas Nmecha,GER,FW,Wolfsburg,Bundesliga,24,1998,0.5,0,0,0,1,1,0,0,0,1,0.0,0.0,0,0.0,3.0,3.0,50.0
Peru Nolaskoain,ESP,"DF,MF",Athletic Club,La Liga,24,1998,0.1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1.0,2.0,0.0,100.0
Joseph Nonge,BEL,MF,Juventus,Serie A,18,2005,0.3,1,0,0,3,1,0,0,0,0,0.0,1.0,0,1.0,1.0,0.0,100.0
Jonathan Norbye,NOR,MF,RB Leipzig,Bundesliga,16,2007,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Arnaud Nordin,FRA,"FW,MF",Montpellier,Ligue 1,25,1998,13.8,1,1,0,14,41,1,35,2,6,1.0,0.0,0,56.0,9.0,10.0,47.4
Rhys Norrington-Davies,WAL,DF,Sheffield Utd,Premier League,24,1999,1.2,1,0,0,3,1,1,2,1,1,0.0,0.0,0,4.0,1.0,1.0,50.0
Oliver Norwood,NIR,MF,Sheffield Utd,Premier League,32,1991,16.0,8,0,0,15,9,0,52,21,26,0.0,1.0,0,98.0,14.0,16.0,46.7
Tijjani Noslin,NED,"FW,MF",Hellas Verona,Serie A,24,1999,14.9,2,0,0,24,10,4,15,2,8,2.0,0.0,0,65.0,49.0,71.0,40.8
Randy Nteka,ANG,"FW,MF",Rayo Vallecano,La Liga,25,1997,6.4,3,0,0,19,14,6,3,2,4,1.0,0.0,0,23.0,27.0,24.0,52.9
Ernest Nuamah,GHA,"FW,MF",Lyon,Ligue 1,19,2003,20.4,4,0,0,50,34,12,75,8,14,0.0,1.0,0,86.0,10.0,25.0,28.6
Alexander Nübel,GER,GK,Stuttgart,Bundesliga,26,1996,30.0,1,0,0,0,4,0,0,0,2,0.0,0.0,1,65.0,8.0,1.0,88.9
Kasim Nuhu,GHA,DF,Hoffenheim,Bundesliga,28,1995,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Matheus Nunes,POR,MF,Wolves,Premier League,24,1998,2.0,2,1,1,1,7,3,3,6,1,0.0,0.0,0,10.0,2.0,1.0,66.7
Matheus Nunes,POR,MF,Manchester City,Premier League,24,1998,7.3,0,0,0,8,16,2,19,1,4,0.0,0.0,0,30.0,5.0,8.0,38.5
Darwin Núñez,URU,FW,Liverpool,Premier League,24,1999,22.7,9,0,0,28,15,33,19,3,12,1.0,0.0,0,56.0,34.0,55.0,38.2
Unai Núñez,ESP,DF,Celta Vigo,La Liga,26,1997,31.1,4,0,0,37,24,0,1,52,28,1.0,0.0,0,206.0,89.0,57.0,61.0
Fabian Nürnberger,GER,"DF,MF",Darmstadt 98,Bundesliga,24,1999,16.8,2,0,0,18,16,0,64,17,22,1.0,0.0,0,78.0,13.0,9.0,59.1
Ethan Nwaneri,ENG,FW,Arsenal,Premier League,16,2007,0.2,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0
Simeon Nwankwo,NGA,FW,Salernitana,Serie A,31,1992,7.6,0,0,0,11,17,2,0,0,3,0.0,0.0,0,13.0,24.0,41.0,36.9
Gerzino Nyamsi,FRA,DF,Strasbourg,Ligue 1,26,1997,12.1,1,0,0,13,0,0,1,10,14,0.0,0.0,0,75.0,20.0,11.0,64.5
Ørjan Nyland,NOR,GK,Sevilla,La Liga,32,1990,24.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0,28.0,10.0,0.0,100.0
Rabby Nzingoula,CGO,"MF,FW",Strasbourg,Ligue 1,17,2005,1.5,1,0,0,6,2,0,3,5,3,0.0,0.0,0,9.0,2.0,4.0,33.3
M'Bala Nzola,ANG,FW,Fiorentina,Serie A,26,1996,17.2,2,0,0,37,7,21,6,0,8,1.0,0.0,0,49.0,53.0,70.0,43.1
