player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Christian Nørgaard,DEN,MF,Brentford,Premier League,29,1994,27.8,8,0,0,41,32,1,22,54,50,0.0,0.0,0,216.0,40.0,46.0,46.5
Jake O'Brien,IRL,DF,Lyon,Ligue 1,22,2001,26.3,4,1,0,17,10,0,1,12,16,0.0,0.0,0,126.0,44.0,25.0,63.8
Mark O'Mahony,IRL,FW,Brighton,Premier League,18,2005,0.7,1,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,1.0,3.0,25.0
Dara O'Shea,IRL,DF,Burnley,Premier League,24,1999,32.1,5,1,0,36,15,1,11,35,20,0.0,0.0,1,140.0,127.0,67.0,65.5
Michael Obafemi,IRL,"FW,MF",Burnley,Premier League,23,2000,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
Adam Obert,SVK,DF,Cagliari,Serie A,20,2002,10.5,1,0,0,14,4,0,15,21,9,0.0,0.0,0,54.0,14.0,18.0,43.8
Pedro Obiang,EQG,MF,Sassuolo,Serie A,31,1992,5.0,1,0,0,9,3,0,1,8,4,0.0,0.0,0,20.0,5.0,4.0,55.6
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,30,1993,38.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0,29.0,8.0,0.0,100.0
Brian Ocampo,URU,"MF,FW",Cádiz,La Liga,24,1999,2.8,2,0,0,9,9,0,19,3,3,0.0,0.0,0,23.0,4.0,3.0,57.1
Lucas Ocampos,ARG,"FW,MF",Sevilla,La Liga,29,1994,31.9,8,0,0,32,71,8,120,21,47,0.0,0.0,0,161.0,63.0,56.0,52.9
Guillermo Ochoa,MEX,GK,Salernitana,Serie A,38,1985,21.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,18.0,2.0,0.0,100.0
Jens Odgaard,DEN,"FW,MF",Bologna,Serie A,24,1999,4.8,1,0,0,14,11,7,8,1,4,0.0,0.0,0,15.0,12.0,15.0,44.4
Wilson Odobert,FRA,"MF,FW",Burnley,Premier League,18,2004,23.3,3,0,0,9,19,1,35,6,13,0.0,0.0,0,94.0,8.0,15.0,34.8
Álvaro Odriozola,ESP,DF,Real Sociedad,La Liga,27,1995,4.4,0,0,0,7,4,1,10,8,7,0.0,1.0,0,13.0,1.0,8.0,11.1
Tim Oermann,GER,DF,Bochum,Bundesliga,19,2003,7.9,2,0,0,8,8,0,8,2,11,0.0,0.0,0,27.0,7.0,12.0,36.8
Odeluga Offiah,ENG,DF,Brighton,Premier League,20,2002,1.4,0,0,0,2,2,0,3,1,0,0.0,0.0,0,4.0,1.0,1.0,50.0
Chiedozie Ogbene,IRL,"MF,DF",Luton Town,Premier League,26,1997,22.2,1,0,0,8,50,8,79,7,10,2.0,0.0,0,125.0,28.0,23.0,54.9
Angelo Ogbonna,ITA,DF,West Ham,Premier League,35,1988,7.1,1,0,0,1,3,0,0,3,5,0.0,0.0,0,10.0,12.0,7.0,63.2
Florent Ogier,FRA,DF,Clermont Foot,Ligue 1,34,1989,10.5,1,0,0,11,6,0,0,9,9,0.0,1.0,1,37.0,23.0,18.0,56.1
Noah Okafor,SUI,"FW,MF",Milan,Serie A,23,2000,9.9,1,0,0,12,9,2,22,0,4,0.0,0.0,0,27.0,7.0,13.0,35.0
David Okereke,NGA,"FW,MF",Torino,Serie A,25,1997,2.8,0,0,0,2,3,2,4,1,1,0.0,0.0,0,9.0,7.0,9.0,43.8
Caleb Okoli,ITA,DF,Frosinone,Serie A,22,2001,32.4,9,0,0,27,26,0,2,29,34,0.0,2.0,0,164.0,74.0,59.0,55.6
Maduka Okoye,NGA,GK,Udinese,Serie A,23,1999,21.0,2,0,0,1,4,0,0,1,0,0.0,1.0,0,17.0,6.0,1.0,85.7
Masaya Okugawa,JPN,"FW,DF",Augsburg,Bundesliga,27,1996,0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0
Joseph Okumu,KEN,DF,Reims,Ligue 1,26,1997,19.4,3,0,0,17,17,0,3,35,28,0.0,0.0,0,144.0,41.0,26.0,61.2
Aingeru Olabarrieta,ESP,FW,Athletic Club,La Liga,17,2005,0.1,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Michael Olakigbe,ENG,"DF,FW",Brentford,Premier League,19,2004,0.7,0,0,0,2,2,1,7,1,0,0.0,0.0,0,7.0,1.0,2.0,33.3
Olasagasti,ESP,MF,Real Sociedad,La Liga,22,2000,4.0,3,0,0,7,7,1,1,3,13,0.0,0.0,0,36.0,6.0,10.0,37.5
Finn Ole Becker,GER,MF,Hoffenheim,Bundesliga,23,2000,6.7,1,0,0,6,7,0,7,1,9,0.0,0.0,0,49.0,5.0,9.0,35.7
Mathias Olesen,LUX,"MF,FW",Köln,Bundesliga,22,2001,1.2,2,1,1,3,2,0,1,2,0,0.0,0.0,0,14.0,1.0,3.0,25.0
Michael Olise,FRA,"FW,MF",Crystal Palace,Premier League,21,2001,14.2,0,0,0,13,43,2,97,11,10,0.0,0.0,0,68.0,7.0,15.0,31.8
Mathías Olivera,URU,DF,Napoli,Serie A,25,1997,17.4,3,0,0,9,17,1,27,20,29,0.0,0.0,0,101.0,37.0,30.0,55.2
Dani Olmo,ESP,MF,RB Leipzig,Bundesliga,25,1998,16.1,0,0,0,15,17,1,21,13,18,0.0,0.0,0,75.0,11.0,19.0,36.7
Robin Olsen,SWE,GK,Aston Villa,Premier League,33,1990,4.5,0,0,0,0,2,0,0,0,0,0.0,0.0,0,4.0,2.0,0.0,100.0
Warmed Omari,FRA,DF,Rennes,Ligue 1,23,2000,23.0,5,1,0,20,12,0,0,33,19,0.0,0.0,2,114.0,50.0,19.0,72.5
Becir Omeragic,SUI,"DF,MF",Montpellier,Ligue 1,21,2002,25.7,4,0,0,18,16,0,3,27,29,0.0,0.0,0,108.0,30.0,41.0,42.3
Jonas Omlin,SUI,GK,Gladbach,Bundesliga,29,1994,7.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0,16.0,3.0,0.0,100.0
Andrew Omobamidele,IRL,DF,Nott'ham Forest,Premier League,21,2002,8.7,2,0,0,6,3,0,0,13,3,0.0,0.0,1,21.0,7.0,10.0,41.2
Samuel Omorodion,ESP,FW,Alavés,La Liga,19,2004,21.3,6,0,0,30,30,16,2,1,3,1.0,0.0,0,46.0,59.0,89.0,39.9
Samuel Omorodion,ESP,FW,Granada,La Liga,19,2004,0.9,0,0,0,1,3,0,0,0,1,0.0,0.0,0,2.0,2.0,5.0,28.6
Amadou Onana,BEL,MF,Everton,Premier League,21,2001,23.2,5,0,0,37,45,1,3,21,38,0.0,1.0,0,160.0,52.0,18.0,74.3
André Onana,CMR,GK,Manchester Utd,Premier League,27,1996,38.0,5,0,0,1,4,0,0,0,0,0.0,1.0,0,44.0,14.0,2.0,87.5
Jean Onana,CMR,MF,Marseille,Ligue 1,23,2000,6.3,1,0,0,15,8,0,2,11,14,0.0,0.0,0,38.0,11.0,6.0,64.7
Ryan One,SCO,FW,Sheffield Utd,Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0
Karim Onisiwo,AUT,"FW,MF",Mainz 05,Bundesliga,31,1992,16.6,1,0,0,31,44,15,21,2,8,0.0,0.0,0,40.0,33.0,65.0,33.7
Tyler Onyango,ENG,MF,Everton,Premier League,20,2003,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Fred Onyedinma,ENG,"DF,MF",Luton Town,Premier League,26,1996,4.5,1,0,0,10,6,0,13,1,6,0.0,1.0,0,10.0,8.0,6.0,57.1
Frank Onyeka,NGA,MF,Brentford,Premier League,25,1998,12.9,8,0,0,24,31,4,16,23,24,0.0,0.0,0,73.0,10.0,23.0,30.3
Loïs Openda,BEL,FW,RB Leipzig,Bundesliga,23,2000,30.0,4,0,0,38,64,33,32,5,3,1.0,1.0,0,59.0,22.0,31.0,41.5
Royce Openda Owaga,GAB,FW,Lorient,Ligue 1,21,2002,0.2,0,0,0,1,1,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
Christopher Operi,CIV,DF,Le Havre,Ligue 1,26,1997,27.2,6,0,0,20,18,0,190,35,36,1.0,1.0,0,150.0,32.0,13.0,71.1
Leon Opitz,GER,"FW,DF",Werder Bremen,Bundesliga,18,2005,0.2,0,0,0,0,0,0,2,0,2,0.0,0.0,0,2.0,0.0,0.0,0.0
Gift Orban,NGA,FW,Lyon,Ligue 1,21,2002,5.3,2,0,0,9,10,2,3,1,3,0.0,0.0,0,14.0,3.0,15.0,16.7
Willi Orban,HUN,DF,RB Leipzig,Bundesliga,30,1992,17.6,2,0,0,16,10,0,1,16,12,0.0,0.0,0,87.0,54.0,28.0,65.9
Ivan Ordets,UKR,DF,Bochum,Bundesliga,31,1992,20.9,4,0,0,29,20,3,1,31,14,1.0,4.0,1,89.0,133.0,55.0,70.7
Divock Origi,BEL,FW,Nott'ham Forest,Premier League,28,1995,6.7,1,0,0,14,8,5,13,2,4,0.0,0.0,0,16.0,11.0,17.0,39.3
Gaetano Oristanio,ITA,"FW,MF",Cagliari,Serie A,20,2002,12.3,1,0,0,37,28,2,32,9,10,0.0,0.0,0,67.0,17.0,22.0,43.6
Aimar Oroz,ESP,MF,Osasuna,La Liga,21,2001,26.0,3,0,0,39,46,2,11,16,26,0.0,0.0,0,144.0,19.0,39.0,32.8
Riccardo Orsolini,ITA,"FW,MF",Bologna,Serie A,26,1997,19.9,2,0,0,17,41,14,100,8,14,0.0,0.0,0,69.0,16.0,17.0,48.5
Stefan Ortega,GER,GK,Manchester City,Premier League,30,1992,7.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,12.0,1.0,0.0,100.0
Eneko Ortiz,ESP,DF,Alavés,La Liga,20,2003,0.2,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Asier Osambela,ESP,MF,Osasuna,La Liga,19,2004,0.1,0,0,0,1,0,0,0,0,1,0.0,0.0,0,1.0,2.0,2.0,50.0
Ben Osborn,ENG,"DF,MF",Sheffield Utd,Premier League,28,1994,15.2,3,0,0,8,9,1,47,8,9,0.0,0.0,1,80.0,6.0,22.0,21.4
Gabriel Osho,NGA,DF,Luton Town,Premier League,24,1998,20.5,3,0,0,23,14,1,3,31,22,0.0,0.0,0,103.0,36.0,36.0,50.0
Victor Osimhen,NGA,FW,Napoli,Serie A,24,1998,22.0,6,1,1,31,31,35,14,2,5,3.0,0.0,0,40.0,37.0,47.0,44.0
Milutin Osmajić,MNE,MF,Cádiz,La Liga,24,1999,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0
Patrick Osterhage,GER,MF,Bochum,Bundesliga,23,2000,20.7,5,0,0,21,24,3,20,27,26,0.0,0.0,0,142.0,26.0,30.0,46.4
William Osula,DEN,FW,Sheffield Utd,Premier League,19,2003,8.7,4,0,0,15,12,6,2,2,2,0.0,0.0,0,12.0,24.0,70.0,25.5
Dango Ouattara,BFA,"FW,DF",Bournemouth,Premier League,21,2002,13.7,3,0,0,15,17,4,36,22,27,0.0,0.0,0,69.0,35.0,32.0,52.2
Kassoum Ouattara,FRA,"DF,FW",Monaco,Ligue 1,18,2004,7.1,2,0,0,10,9,0,35,13,12,0.0,0.0,0,37.0,16.0,7.0,69.6
