player,nationality,position,team,comp_level,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,37.0,1.97,25.0,3.0,1.0,0.0,8.0,0.0,5.0,0.27,3.0,0.0,0.0,0.0,2.0,0.0
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,36.0,3.18,21.0,12.0,0.0,1.0,1.0,1.0,2.0,0.18,1.0,1.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,126.0,5.27,80.0,33.0,5.0,6.0,0.0,2.0,7.0,0.29,4.0,3.0,0.0,0.0,0.0,0.0
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,1.0,0.69,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.69,1.0,0.0,0.0,0.0,0.0,0.0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,3.0,1.08,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.36,0.0,0.0,0.0,0.0,1.0,0.0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,34.0,3.56,20.0,4.0,5.0,0.0,5.0,0.0,4.0,0.42,3.0,0.0,0.0,0.0,1.0,0.0
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,34.0,2.39,23.0,0.0,5.0,1.0,5.0,0.0,3.0,0.21,1.0,0.0,1.0,0.0,1.0,0.0
Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,40.0,3.56,24.0,11.0,3.0,2.0,0.0,0.0,2.0,0.18,1.0,1.0,0.0,0.0,0.0,0.0
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,11.0,0.39,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,9.0,2.41,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,58.0,2.8,37.0,2.0,6.0,6.0,6.0,1.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,29.0,2.71,18.0,3.0,3.0,3.0,2.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,52.0,2.41,40.0,1.0,3.0,7.0,1.0,0.0,4.0,0.19,2.0,1.0,0.0,1.0,0.0,0.0
Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,64.0,2.74,38.0,1.0,9.0,5.0,8.0,3.0,7.0,0.3,4.0,0.0,0.0,0.0,2.0,1.0
Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,8.0,2.86,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,6.0,0.7,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,14.0,2.22,8.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,32.0,1.21,24.0,0.0,2.0,3.0,0.0,3.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,22.0,0.78,17.0,1.0,1.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,31.0,3.66,25.0,2.0,4.0,0.0,0.0,0.0,2.0,0.24,1.0,0.0,1.0,0.0,0.0,0.0
Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,118.0,4.01,74.0,28.0,4.0,10.0,2.0,0.0,15.0,0.51,12.0,1.0,0.0,0.0,2.0,0.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,10.0,0.78,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0
Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,12.0,2.54,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,4.0,2.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,20.0,2.02,18.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,14.0,2.09,7.0,0.0,3.0,0.0,4.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0
