player,nationality,position,team,comp_level,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,21,2002,17.7,1161.0,5.0,76.0,275.0,825.0,226.0,1161.0,169.0,87.0,51.5,64.0,37.9,879.0,7535.0,4884.0,218.0,61.0,147.0,52.0,37.0,937.0,295.0
Jeremy Doku,BEL,FW,Rennes,Ligue 1,21,2002,1.2,61.0,1.0,6.0,17.0,44.0,12.0,61.0,9.0,9.0,100.0,0.0,0.0,60.0,627.0,342.0,11.0,6.0,7.0,2.0,2.0,54.0,19.0
Jaume Doménech,ESP,GK,Valencia,La Liga,32,1990,0.9,37.0,32.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,18.0,79.0,41.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,22,2001,17.6,1068.0,110.0,498.0,515.0,63.0,10.0,1068.0,2.0,2.0,100.0,0.0,0.0,592.0,2792.0,1490.0,11.0,11.0,1.0,17.0,2.0,629.0,3.0
Mario Dominguez,ESP,FW,Valencia,La Liga,19,2004,0.3,10.0,0.0,0.0,2.0,8.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,25,1998,16.6,1049.0,39.0,266.0,542.0,248.0,33.0,1049.0,17.0,7.0,41.2,8.0,47.1,492.0,2030.0,1106.0,14.0,13.0,2.0,21.0,7.0,628.0,43.0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,25,1998,1.1,103.0,2.0,23.0,69.0,12.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,39.0,210.0,116.0,1.0,2.0,0.0,1.0,3.0,79.0,3.0
Giulio Donati,ITA,DF,Monza,Serie A,33,1990,0.4,51.0,0.0,11.0,25.0,15.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,30.0,120.0,58.0,0.0,2.0,0.0,3.0,0.0,39.0,5.0
Jamie Donley,ENG,FW,Tottenham,Premier League,18,2005,0.0,7.0,2.0,4.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,100.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,24,1999,24.1,842.0,739.0,838.0,4.0,0.0,0.0,842.0,1.0,1.0,100.0,0.0,0.0,622.0,2547.0,1432.0,0.0,0.0,0.0,1.0,0.0,459.0,0.0
Patrick Dorgu,DEN,"DF,MF",Lecce,Serie A,18,2004,17.4,949.0,57.0,263.0,431.0,265.0,32.0,949.0,38.0,15.0,39.5,16.0,42.1,535.0,2892.0,1460.0,37.0,34.0,4.0,41.0,20.0,567.0,86.0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,25,1998,15.4,796.0,61.0,252.0,467.0,85.0,2.0,796.0,11.0,7.0,63.6,3.0,27.3,436.0,2039.0,801.0,12.0,8.0,1.0,21.0,10.0,470.0,12.0
Alberto Dossena,ITA,DF,Cagliari,Serie A,24,1998,33.1,1720.0,270.0,930.0,748.0,55.0,35.0,1720.0,8.0,5.0,62.5,3.0,37.5,774.0,3763.0,2159.0,9.0,6.0,0.0,22.0,10.0,849.0,2.0
Carlos Dotor,ESP,MF,Celta Vigo,La Liga,22,2001,7.9,414.0,14.0,89.0,237.0,93.0,8.0,414.0,3.0,3.0,100.0,0.0,0.0,203.0,883.0,348.0,3.0,6.0,0.0,13.0,9.0,282.0,12.0
Abdoulaye Doucouré,MLI,"FW,MF",Everton,Premier League,30,1993,29.2,1190.0,36.0,188.0,523.0,495.0,100.0,1190.0,48.0,25.0,52.1,21.0,43.8,635.0,3292.0,1692.0,55.0,37.0,17.0,61.0,42.0,800.0,140.0
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,23,2000,10.2,545.0,25.0,145.0,312.0,97.0,7.0,545.0,13.0,10.0,76.9,3.0,23.1,276.0,1153.0,579.0,9.0,9.0,1.0,16.0,8.0,318.0,5.0
Siriné Doucouré,MLI,FW,Lorient,Ligue 1,21,2002,4.7,181.0,7.0,10.0,83.0,89.0,35.0,181.0,25.0,13.0,52.0,11.0,44.0,122.0,787.0,315.0,14.0,7.0,12.0,30.0,10.0,135.0,35.0
Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,18,2005,18.1,1056.0,14.0,124.0,442.0,512.0,70.0,1056.0,106.0,64.0,60.4,31.0,29.2,828.0,6050.0,2891.0,78.0,73.0,29.0,58.0,44.0,827.0,172.0
Guela Doué,CIV,DF,Rennes,Ligue 1,20,2002,13.7,843.0,66.0,270.0,338.0,246.0,24.0,843.0,29.0,20.0,69.0,7.0,24.1,509.0,3429.0,1708.0,41.0,41.0,9.0,19.0,15.0,442.0,85.0
Alfie Doughty,ENG,DF,Luton Town,Premier League,23,1999,32.5,1998.0,102.0,541.0,665.0,818.0,76.0,1998.0,67.0,33.0,49.3,24.0,35.8,897.0,5522.0,2794.0,94.0,52.0,28.0,51.0,13.0,968.0,164.0
Douglas,BRA,MF,Nantes,Ligue 1,26,1997,19.7,1248.0,66.0,310.0,757.0,195.0,14.0,1248.0,8.0,2.0,25.0,4.0,50.0,892.0,4287.0,1756.0,12.0,16.0,1.0,16.0,8.0,806.0,18.0
Ismaël Doukouré,FRA,"MF,DF",Strasbourg,Ligue 1,20,2003,18.4,919.0,56.0,273.0,585.0,72.0,2.0,919.0,31.0,22.0,71.0,9.0,29.0,672.0,3877.0,1720.0,15.0,16.0,0.0,11.0,24.0,607.0,7.0
Kamory Doumbia,MLI,MF,Brest,Ligue 1,20,2003,9.8,641.0,10.0,76.0,357.0,220.0,37.0,641.0,29.0,13.0,44.8,15.0,51.7,482.0,2648.0,1049.0,22.0,22.0,6.0,32.0,18.0,449.0,43.0
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,23,1999,10.1,292.0,10.0,25.0,123.0,145.0,49.0,292.0,22.0,9.0,40.9,11.0,50.0,172.0,842.0,319.0,10.0,6.0,6.0,38.0,20.0,218.0,53.0
Artem Dovbyk,UKR,FW,Girona,La Liga,26,1997,28.7,606.0,19.0,36.0,230.0,341.0,185.0,598.0,25.0,17.0,68.0,8.0,32.0,351.0,1294.0,449.0,18.0,7.0,16.0,50.0,39.0,487.0,118.0
Nikola Dovedan,AUT,"MF,FW",Heidenheim,Bundesliga,29,1994,7.3,311.0,3.0,46.0,163.0,109.0,24.0,311.0,23.0,8.0,34.8,13.0,56.5,185.0,997.0,453.0,12.0,11.0,4.0,25.0,15.0,198.0,25.0
Damion Downs,GER,"FW,MF",Köln,Bundesliga,19,2004,2.0,52.0,1.0,4.0,21.0,27.0,8.0,52.0,4.0,1.0,25.0,3.0,75.0,22.0,89.0,37.0,1.0,1.0,1.0,2.0,1.0,32.0,5.0
Tommy Doyle,ENG,MF,Wolves,Premier League,21,2001,13.6,1061.0,40.0,265.0,620.0,182.0,6.0,1061.0,3.0,1.0,33.3,1.0,33.3,637.0,3091.0,1408.0,21.0,17.0,2.0,7.0,7.0,766.0,17.0
Radu Drăgușin,ROU,DF,Tottenham,Premier League,21,2002,4.8,411.0,44.0,217.0,189.0,7.0,2.0,411.0,3.0,1.0,33.3,1.0,33.3,284.0,1550.0,738.0,5.0,2.0,1.0,1.0,1.0,312.0,1.0
Radu Drăgușin,ROU,DF,Genoa,Serie A,21,2002,19.0,909.0,173.0,487.0,347.0,80.0,28.0,909.0,1.0,0.0,0.0,1.0,100.0,447.0,1898.0,922.0,6.0,6.0,1.0,5.0,4.0,495.0,13.0
Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,6.5,239.0,5.0,24.0,92.0,126.0,38.0,239.0,24.0,11.0,45.8,10.0,41.7,133.0,963.0,402.0,16.0,13.0,6.0,24.0,5.0,178.0,35.0
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,18,2005,6.4,417.0,35.0,197.0,208.0,13.0,4.0,417.0,5.0,1.0,20.0,3.0,60.0,263.0,1190.0,603.0,6.0,2.0,0.0,4.0,1.0,289.0,0.0
Domingos Duarte,POR,DF,Getafe,La Liga,28,1995,10.1,453.0,45.0,173.0,264.0,20.0,6.0,453.0,3.0,1.0,33.3,1.0,33.3,211.0,1150.0,728.0,7.0,1.0,0.0,5.0,2.0,236.0,0.0
Rubén Duarte,ESP,DF,Alavés,La Liga,27,1995,20.9,1024.0,88.0,405.0,429.0,197.0,12.0,1024.0,5.0,3.0,60.0,1.0,20.0,395.0,1913.0,981.0,16.0,15.0,2.0,10.0,4.0,468.0,39.0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,34,1989,22.1,709.0,604.0,702.0,7.0,0.0,0.0,709.0,0.0,0.0,0.0,0.0,0.0,378.0,2050.0,1374.0,0.0,0.0,0.0,3.0,0.0,260.0,0.0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29,1994,30.0,1166.0,25.0,81.0,531.0,559.0,110.0,1160.0,28.0,12.0,42.9,16.0,57.1,586.0,2105.0,834.0,17.0,20.0,7.0,53.0,17.0,779.0,150.0
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,28,1994,27.3,1473.0,52.0,271.0,898.0,331.0,19.0,1472.0,38.0,21.0,55.3,13.0,34.2,776.0,4107.0,1556.0,34.0,29.0,6.0,49.0,24.0,804.0,47.0
Denzel Dumfries,NED,DF,Inter,Serie A,27,1996,18.2,977.0,32.0,231.0,385.0,367.0,73.0,977.0,33.0,14.0,42.4,12.0,36.4,502.0,2532.0,1121.0,50.0,19.0,11.0,29.0,9.0,626.0,147.0
Paul Dummett,WAL,DF,Newcastle Utd,Premier League,31,1991,0.2,26.0,3.0,7.0,16.0,3.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,12.0,54.0,33.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0
Alfred Duncan,GHA,MF,Fiorentina,Serie A,30,1993,21.0,1184.0,26.0,157.0,698.0,343.0,17.0,1184.0,40.0,20.0,50.0,16.0,40.0,634.0,2974.0,1442.0,23.0,26.0,3.0,18.0,19.0,777.0,47.0
Lewis Dunk,ENG,DF,Brighton,Premier League,31,1991,31.9,3481.0,554.0,1811.0,1542.0,145.0,51.0,3481.0,8.0,5.0,62.5,2.0,25.0,2417.0,10752.0,5605.0,33.0,18.0,2.0,9.0,2.0,2681.0,13.0
Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,19,2003,5.3,189.0,8.0,22.0,90.0,80.0,27.0,189.0,5.0,2.0,40.0,3.0,60.0,102.0,508.0,206.0,9.0,5.0,5.0,16.0,14.0,138.0,25.0
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,17,2006,0.1,14.0,0.0,1.0,6.0,7.0,1.0,14.0,5.0,3.0,60.0,2.0,40.0,12.0,57.0,26.0,2.0,1.0,1.0,3.0,4.0,13.0,1.0
Hugo Duro,ESP,FW,Valencia,La Liga,23,1999,33.1,913.0,36.0,92.0,416.0,418.0,123.0,913.0,41.0,13.0,31.7,22.0,53.7,512.0,2033.0,782.0,27.0,20.0,13.0,94.0,38.0,666.0,157.0
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,26,1997,15.0,894.0,53.0,324.0,444.0,133.0,6.0,894.0,15.0,9.0,60.0,6.0,40.0,621.0,3240.0,1644.0,18.0,28.0,1.0,21.0,8.0,556.0,23.0
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,29,1993,21.8,1277.0,8.0,87.0,590.0,612.0,88.0,1270.0,77.0,28.0,36.4,43.0,55.8,808.0,5078.0,2296.0,79.0,61.0,31.0,70.0,41.0,993.0,167.0
Aron Dønnum,NOR,"FW,MF",Toulouse,Ligue 1,25,1998,17.7,774.0,19.0,108.0,343.0,341.0,48.0,774.0,74.0,31.0,41.9,34.0,45.9,601.0,4386.0,2001.0,69.0,37.0,21.0,46.0,23.0,567.0,120.0
George Earthy,ENG,FW,West Ham,Premier League,18,2004,0.4,18.0,0.0,3.0,7.0,8.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,13.0,48.0,13.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0
Simon Ebonog,CMR,MF,Le Havre,Ligue 1,18,2004,0.2,24.0,2.0,5.0,18.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,16.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Festy Ebosele,IRL,DF,Udinese,Serie A,20,2002,18.9,706.0,35.0,166.0,245.0,314.0,46.0,706.0,108.0,49.0,45.4,37.0,34.3,406.0,3692.0,1887.0,67.0,45.0,30.0,56.0,34.0,405.0,98.0
Enzo Ebosse,CMR,DF,Udinese,Serie A,24,1999,0.1,17.0,5.0,9.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,21.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Tyronne Ebuehi,NGA,DF,Empoli,Serie A,27,1995,12.2,668.0,44.0,266.0,258.0,150.0,20.0,668.0,13.0,4.0,30.8,7.0,53.8,345.0,2020.0,1217.0,34.0,14.0,6.0,19.0,4.0,360.0,35.0
Ederson,BRA,GK,Manchester City,Premier League,29,1993,30.9,1283.0,965.0,1263.0,20.0,0.0,0.0,1283.0,1.0,1.0,100.0,0.0,0.0,847.0,3714.0,2353.0,0.0,0.0,0.0,0.0,0.0,842.0,0.0
Éderson,BRA,MF,Atalanta,Serie A,24,1999,31.9,2027.0,80.0,508.0,1159.0,385.0,41.0,2027.0,42.0,22.0,52.4,18.0,42.9,1198.0,5502.0,2448.0,32.0,26.0,7.0,33.0,36.0,1373.0,50.0
Odsonne Édouard,FRA,"FW,MF",Crystal Palace,Premier League,25,1998,17.3,597.0,18.0,59.0,222.0,326.0,98.0,597.0,50.0,19.0,38.0,24.0,48.0,341.0,1762.0,877.0,33.0,18.0,25.0,55.0,26.0,415.0,100.0
John Egan,IRL,DF,Sheffield Utd,Premier League,30,1992,5.4,257.0,58.0,163.0,81.0,13.0,9.0,257.0,0.0,0.0,0.0,0.0,0.0,106.0,485.0,233.0,0.0,2.0,0.0,2.0,1.0,133.0,1.0
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,26,1996,32.4,1635.0,71.0,371.0,958.0,324.0,35.0,1635.0,37.0,20.0,54.1,14.0,37.8,859.0,4467.0,2100.0,42.0,41.0,3.0,30.0,19.0,999.0,72.0
Lilian Egloff,GER,"MF,DF",Stuttgart,Bundesliga,20,2002,1.2,56.0,2.0,20.0,22.0,14.0,1.0,56.0,2.0,0.0,0.0,1.0,50.0,27.0,182.0,69.0,2.0,3.0,0.0,0.0,1.0,32.0,2.0
Kingsley Ehizibue,NED,DF,Udinese,Serie A,28,1995,10.6,413.0,43.0,132.0,146.0,139.0,28.0,413.0,21.0,11.0,52.4,6.0,28.6,200.0,1268.0,596.0,18.0,10.0,7.0,17.0,10.0,198.0,44.0
Hjalmar Ekdal,SWE,DF,Burnley,Premier League,24,1998,4.9,268.0,36.0,131.0,124.0,15.0,3.0,268.0,3.0,2.0,66.7,1.0,33.3,142.0,885.0,523.0,5.0,4.0,0.0,2.0,1.0,150.0,1.0
Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,21,2002,0.1,11.0,0.0,0.0,1.0,10.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,56.0,6.0,0.0,0.0,1.0,2.0,1.0,11.0,3.0
Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,21,2002,8.0,311.0,2.0,20.0,137.0,159.0,56.0,311.0,39.0,18.0,46.2,19.0,48.7,190.0,1040.0,500.0,16.0,9.0,9.0,26.0,13.0,225.0,60.0
Emmanuel Ekong,SWE,FW,Empoli,Serie A,21,2002,0.1,4.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,2.0,66.7,4.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Caleb Ekuban,GHA,FW,Genoa,Serie A,29,1994,12.6,385.0,10.0,32.0,150.0,208.0,52.0,385.0,22.0,10.0,45.5,11.0,50.0,246.0,1057.0,373.0,14.0,8.0,9.0,55.0,17.0,297.0,93.0
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,21,2002,27.0,1022.0,25.0,181.0,348.0,507.0,122.0,1022.0,76.0,28.0,36.8,42.0,55.3,625.0,4704.0,2514.0,98.0,54.0,42.0,67.0,22.0,740.0,196.0
Simon Elisor,FRA,FW,Metz,Ligue 1,24,1999,8.5,260.0,9.0,28.0,121.0,117.0,33.0,259.0,18.0,5.0,27.8,12.0,66.7,167.0,1041.0,193.0,9.0,8.0,5.0,28.0,23.0,194.0,43.0
Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,20,2003,15.0,1141.0,8.0,91.0,546.0,512.0,71.0,1141.0,20.0,9.0,45.0,10.0,50.0,722.0,3946.0,1753.0,44.0,50.0,9.0,15.0,9.0,860.0,122.0
Elif Elmas,MKD,"FW,MF",Napoli,Serie A,23,1999,3.8,240.0,7.0,27.0,107.0,111.0,12.0,240.0,13.0,6.0,46.2,7.0,53.8,140.0,1045.0,623.0,14.0,13.0,4.0,9.0,7.0,181.0,26.0
Elif Elmas,MKD,"MF,FW",RB Leipzig,Bundesliga,23,1999,3.0,160.0,1.0,20.0,77.0,63.0,14.0,160.0,10.0,5.0,50.0,3.0,30.0,95.0,472.0,211.0,9.0,7.0,4.0,6.0,6.0,113.0,18.0
Mohamed Elneny,EGY,MF,Arsenal,Premier League,31,1992,0.3,45.0,1.0,9.0,30.0,6.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,27.0,148.0,62.0,1.0,0.0,0.0,1.0,0.0,37.0,0.0
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,29,1994,9.0,545.0,47.0,225.0,282.0,41.0,14.0,545.0,3.0,2.0,66.7,1.0,33.3,273.0,1407.0,661.0,4.0,5.0,1.0,3.0,3.0,322.0,2.0
Nico Elvedi,SUI,DF,Gladbach,Bundesliga,26,1996,27.6,1999.0,289.0,1047.0,881.0,79.0,25.0,1999.0,9.0,6.0,66.7,1.0,11.1,1184.0,6532.0,3837.0,37.0,19.0,0.0,7.0,4.0,1270.0,6.0
Adri Embarba,ESP,"FW,MF",Almería,La Liga,31,1992,27.5,1316.0,18.0,195.0,514.0,633.0,65.0,1315.0,119.0,46.0,38.7,65.0,54.6,749.0,4984.0,2406.0,94.0,55.0,24.0,79.0,35.0,821.0,167.0
Breel Embolo,SUI,FW,Monaco,Ligue 1,26,1997,2.0,79.0,3.0,8.0,31.0,40.0,18.0,79.0,7.0,4.0,57.1,3.0,42.9,67.0,415.0,150.0,8.0,5.0,6.0,8.0,7.0,67.0,20.0
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,20,2003,23.1,504.0,28.0,44.0,237.0,232.0,88.0,503.0,34.0,10.0,29.4,22.0,64.7,352.0,2016.0,598.0,24.0,19.0,13.0,46.0,29.0,366.0,115.0
Emerson,BRA,DF,Tottenham,Premier League,24,1999,12.9,1220.0,103.0,462.0,517.0,249.0,12.0,1220.0,21.0,10.0,47.6,6.0,28.6,686.0,2759.0,1292.0,21.0,19.0,2.0,15.0,12.0,814.0,35.0
Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,26,1997,28.6,565.0,31.0,75.0,248.0,248.0,115.0,564.0,37.0,11.0,29.7,25.0,67.6,269.0,1239.0,458.0,17.0,10.0,11.0,59.0,17.0,373.0,81.0
Julio Enciso,PAR,"MF,FW",Brighton,Premier League,19,2004,5.3,257.0,5.0,24.0,106.0,131.0,21.0,257.0,29.0,17.0,58.6,7.0,24.1,193.0,1299.0,839.0,28.0,20.0,7.0,15.0,8.0,202.0,29.0
Wataru Endo,JPN,MF,Liverpool,Premier League,30,1993,19.1,1514.0,48.0,295.0,1002.0,224.0,9.0,1514.0,16.0,10.0,62.5,5.0,31.3,890.0,3465.0,1523.0,10.0,21.0,2.0,27.0,22.0,1098.0,21.0
Arne Engels,BEL,"MF,DF",Augsburg,Bundesliga,19,2003,15.6,724.0,25.0,142.0,337.0,249.0,18.0,724.0,11.0,6.0,54.5,5.0,45.5,357.0,1747.0,786.0,23.0,18.0,4.0,15.0,7.0,406.0,62.0
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,31,1992,12.7,896.0,27.0,165.0,492.0,246.0,12.0,896.0,6.0,3.0,50.0,3.0,50.0,515.0,2319.0,1199.0,20.0,21.0,2.0,8.0,14.0,620.0,23.0
Martin Erlic,CRO,DF,Sassuolo,Serie A,25,1998,29.1,1476.0,196.0,700.0,729.0,53.0,15.0,1476.0,6.0,4.0,66.7,2.0,33.3,690.0,3537.0,2051.0,19.0,8.0,1.0,10.0,0.0,824.0,11.0
Gonzalo Escalante,ARG,MF,Cádiz,La Liga,30,1993,18.9,907.0,50.0,221.0,549.0,141.0,19.0,907.0,7.0,3.0,42.9,4.0,57.1,397.0,1557.0,679.0,4.0,9.0,0.0,17.0,12.0,511.0,14.0
Aarón Escandell,ESP,GK,Las Palmas,La Liga,27,1995,1.7,88.0,69.0,87.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,42.0,156.0,108.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,31,1992,27.9,1740.0,82.0,607.0,801.0,360.0,27.0,1740.0,50.0,24.0,48.0,25.0,50.0,725.0,3497.0,1887.0,41.0,26.0,10.0,42.0,18.0,887.0,89.0
Bernardo Espinosa,COL,DF,Girona,La Liga,34,1989,0.0,11.0,4.0,8.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Maxime Estève,FRA,DF,Burnley,Premier League,21,2002,14.5,979.0,158.0,465.0,463.0,52.0,8.0,979.0,3.0,1.0,33.3,0.0,0.0,514.0,2716.0,1664.0,15.0,18.0,2.0,5.0,3.0,600.0,3.0
Maxime Estève,FRA,DF,Montpellier,Ligue 1,21,2002,11.1,493.0,79.0,256.0,218.0,26.0,9.0,493.0,5.0,2.0,40.0,3.0,60.0,282.0,1411.0,699.0,8.0,4.0,1.0,5.0,1.0,249.0,10.0
Oscar Estupiñan,COL,FW,Metz,Ligue 1,26,1996,2.9,88.0,0.0,6.0,52.0,30.0,9.0,88.0,2.0,1.0,50.0,1.0,50.0,54.0,312.0,105.0,5.0,3.0,0.0,3.0,4.0,62.0,8.0
Pervis Estupiñán,ECU,DF,Brighton,Premier League,25,1998,13.8,1109.0,56.0,256.0,546.0,316.0,37.0,1109.0,23.0,9.0,39.1,9.0,39.1,693.0,3046.0,1806.0,47.0,30.0,13.0,20.0,6.0,735.0,88.0
Karl Etta,CMR,FW,Cádiz,La Liga,19,2004,0.2,4.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
Jonny Evans,NIR,DF,Manchester Utd,Premier League,35,1988,15.5,1005.0,185.0,556.0,420.0,31.0,8.0,1005.0,7.0,4.0,57.1,2.0,28.6,567.0,2683.0,1441.0,7.0,5.0,0.0,5.0,3.0,625.0,1.0
Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,25,1998,22.8,1274.0,11.0,121.0,522.0,658.0,103.0,1273.0,140.0,69.0,49.3,64.0,45.7,789.0,4822.0,2098.0,68.0,61.0,43.0,77.0,48.0,887.0,139.0
Abdessamad Ezzalzouli,MAR,"FW,MF",Barcelona,La Liga,21,2001,0.8,54.0,0.0,2.0,13.0,39.0,7.0,54.0,4.0,2.0,50.0,2.0,50.0,41.0,302.0,143.0,7.0,3.0,4.0,4.0,2.0,43.0,12.0
Abdessamad Ezzalzouli,MAR,FW,Betis,La Liga,21,2001,9.6,518.0,7.0,58.0,194.0,271.0,60.0,517.0,50.0,21.0,42.0,23.0,46.0,300.0,2801.0,1587.0,57.0,34.0,35.0,29.0,31.0,377.0,89.0
Giovanni Fabbian,ITA,"MF,FW",Bologna,Serie A,20,2003,11.7,425.0,9.0,78.0,208.0,144.0,47.0,425.0,24.0,12.0,50.0,11.0,45.8,209.0,1275.0,491.0,11.0,10.0,5.0,22.0,13.0,290.0,41.0
Łukasz Fabiański,POL,GK,West Ham,Premier League,38,1985,8.0,260.0,222.0,255.0,5.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,140.0,822.0,585.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0
Nicolò Fagioli,ITA,MF,Juventus,Serie A,22,2001,4.9,263.0,3.0,38.0,143.0,84.0,5.0,263.0,7.0,3.0,42.9,2.0,28.6,167.0,775.0,326.0,8.0,6.0,1.0,10.0,4.0,191.0,15.0
Romain Faivre,FRA,"MF,FW",Bournemouth,Premier League,25,1998,0.5,37.0,1.0,3.0,15.0,19.0,3.0,37.0,7.0,2.0,28.6,3.0,42.9,24.0,215.0,121.0,4.0,4.0,0.0,3.0,1.0,31.0,4.0
Romain Faivre,FRA,"MF,FW",Lorient,Ligue 1,25,1998,16.1,798.0,10.0,117.0,365.0,335.0,40.0,798.0,93.0,44.0,47.3,43.0,46.2,657.0,5115.0,2142.0,68.0,48.0,11.0,37.0,17.0,599.0,78.0
Ilhan Fakili,FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,1.0,45.0,0.0,3.0,19.0,23.0,4.0,45.0,6.0,1.0,16.7,5.0,83.3,33.0,181.0,73.0,2.0,1.0,2.0,5.0,2.0,35.0,7.0
Radamel Falcao,COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,4.5,169.0,4.0,13.0,67.0,91.0,23.0,168.0,8.0,3.0,37.5,4.0,50.0,97.0,429.0,171.0,7.0,4.0,5.0,13.0,12.0,132.0,23.0
Wladimiro Falcone,ITA,GK,Lecce,Serie A,28,1995,38.0,1250.0,1113.0,1246.0,4.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,708.0,4067.0,2547.0,0.0,1.0,1.0,1.0,0.0,568.0,0.0
Fali,ESP,DF,Cádiz,La Liga,29,1993,28.3,1307.0,191.0,647.0,615.0,52.0,18.0,1307.0,5.0,3.0,60.0,1.0,20.0,643.0,3354.0,2047.0,16.0,8.0,0.0,6.0,2.0,696.0,10.0
Davide Faraoni,ITA,DF,Hellas Verona,Serie A,31,1991,6.7,386.0,20.0,94.0,194.0,102.0,12.0,386.0,7.0,3.0,42.9,4.0,57.1,190.0,782.0,400.0,13.0,8.0,1.0,14.0,2.0,211.0,31.0
Davide Faraoni,ITA,DF,Fiorentina,Serie A,31,1991,4.4,298.0,15.0,72.0,153.0,73.0,4.0,298.0,4.0,1.0,25.0,3.0,75.0,159.0,842.0,408.0,7.0,1.0,1.0,4.0,2.0,176.0,16.0
Ansu Fati,ESP,"MF,FW",Brighton,Premier League,20,2002,5.8,300.0,4.0,27.0,141.0,135.0,43.0,300.0,18.0,5.0,27.8,9.0,50.0,212.0,1025.0,451.0,16.0,5.0,9.0,15.0,10.0,238.0,50.0
Ansu Fati,ESP,"MF,FW",Barcelona,La Liga,20,2002,0.6,42.0,0.0,1.0,16.0,25.0,5.0,42.0,3.0,1.0,33.3,1.0,33.3,32.0,266.0,157.0,6.0,4.0,2.0,1.0,1.0,35.0,5.0
