player,nationality,position,team,comp_level,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Adrien Rabiot,FRA,MF,Juventus,Serie A,28,1995,29.5,1525.0,69.0,269.0,829.0,447.0,79.0,1525.0,54.0,28.0,51.9,21.0,38.9,893.0,5580.0,2746.0,72.0,59.0,10.0,52.0,19.0,1027.0,106.0
Uroš Račić,SRB,MF,Sassuolo,Serie A,25,1998,9.1,481.0,30.0,117.0,284.0,83.0,5.0,481.0,7.0,6.0,85.7,1.0,14.3,240.0,1134.0,493.0,5.0,6.0,0.0,9.0,6.0,310.0,11.0
Nemanja Radonjić,SRB,"MF,FW",Torino,Serie A,27,1996,4.2,140.0,0.0,9.0,50.0,81.0,15.0,140.0,23.0,10.0,43.5,11.0,47.8,92.0,617.0,251.0,11.0,3.0,6.0,15.0,3.0,111.0,24.0
Nemanja Radonjić,SRB,"MF,DF",Mallorca,La Liga,27,1996,3.9,181.0,0.0,18.0,71.0,98.0,19.0,181.0,33.0,21.0,63.6,11.0,33.3,110.0,1035.0,589.0,23.0,8.0,13.0,13.0,5.0,128.0,43.0
Aleksandar Radovanović,SRB,DF,Almería,La Liga,29,1993,6.3,279.0,68.0,177.0,100.0,3.0,2.0,279.0,1.0,0.0,0.0,1.0,100.0,110.0,401.0,142.0,0.0,0.0,0.0,2.0,0.0,152.0,1.0
Ionuț Radu,ROU,GK,Bournemouth,Premier League,26,1997,2.0,70.0,64.0,70.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,51.0,215.0,101.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Boris Radunović,SRB,GK,Cagliari,Serie A,27,1996,7.0,238.0,202.0,237.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,113.0,608.0,366.0,0.0,0.0,0.0,1.0,0.0,86.0,0.0
Hamza Rafia,TUN,MF,Lecce,Serie A,24,1999,13.4,687.0,16.0,109.0,386.0,198.0,12.0,687.0,30.0,12.0,40.0,14.0,46.7,399.0,1621.0,609.0,15.0,12.0,3.0,29.0,22.0,451.0,37.0
Abdellah Raihani,MAR,FW,Atlético Madrid,La Liga,19,2004,0.1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Antonio Raillo,ESP,DF,Mallorca,La Liga,31,1991,24.4,1437.0,197.0,743.0,626.0,76.0,41.0,1437.0,2.0,1.0,50.0,1.0,50.0,691.0,4771.0,2963.0,24.0,11.0,1.0,10.0,7.0,762.0,4.0
Luca Raimund,GER,"FW,MF",Stuttgart,Bundesliga,18,2005,0.3,34.0,0.0,5.0,10.0,20.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,18.0,67.0,27.0,0.0,0.0,0.0,2.0,2.0,21.0,2.0
Predrag Rajković,SRB,GK,Mallorca,La Liga,27,1995,36.0,1325.0,1084.0,1304.0,22.0,0.0,0.0,1325.0,3.0,3.0,100.0,0.0,0.0,670.0,3958.0,2410.0,0.0,0.0,0.0,1.0,0.0,563.0,0.0
Jesurun Rak Sakyi,ENG,"MF,FW",Crystal Palace,Premier League,20,2002,1.5,77.0,1.0,10.0,19.0,48.0,13.0,77.0,10.0,4.0,40.0,5.0,50.0,46.0,252.0,145.0,7.0,3.0,5.0,4.0,3.0,54.0,18.0
Ivan Rakitić,CRO,MF,Sevilla,La Liga,35,1988,15.8,1251.0,19.0,169.0,685.0,412.0,23.0,1251.0,20.0,8.0,40.0,9.0,45.0,641.0,2999.0,1588.0,24.0,21.0,1.0,30.0,5.0,797.0,52.0
Ylber Ramadani,ALB,MF,Lecce,Serie A,27,1996,33.0,1588.0,75.0,434.0,957.0,232.0,6.0,1588.0,40.0,23.0,57.5,14.0,35.0,843.0,4599.0,1919.0,36.0,31.0,0.0,35.0,25.0,888.0,14.0
Largie Ramazani,BEL,"FW,MF",Almería,La Liga,22,2001,17.3,578.0,11.0,90.0,251.0,263.0,59.0,578.0,74.0,31.0,41.9,38.0,51.4,381.0,3109.0,1775.0,59.0,41.0,27.0,45.0,33.0,396.0,104.0
Benito Ramírez,ESP,"FW,MF",Las Palmas,La Liga,28,1995,4.3,245.0,6.0,32.0,106.0,112.0,10.0,245.0,11.0,2.0,18.2,9.0,81.8,150.0,963.0,471.0,13.0,8.0,5.0,10.0,3.0,168.0,46.0
Sandro Ramírez,ESP,FW,Las Palmas,La Liga,28,1995,20.1,901.0,17.0,68.0,328.0,515.0,81.0,900.0,54.0,22.0,40.7,25.0,46.3,543.0,3118.0,1302.0,61.0,26.0,30.0,65.0,23.0,656.0,209.0
Chris Ramos,ESP,"FW,MF",Cádiz,La Liga,26,1997,29.0,896.0,51.0,100.0,323.0,479.0,136.0,896.0,69.0,18.0,26.1,44.0,63.8,431.0,1951.0,701.0,31.0,24.0,21.0,95.0,53.0,645.0,102.0
Gonçalo Ramos,POR,FW,Paris S-G,Ligue 1,22,2001,15.8,592.0,17.0,76.0,238.0,282.0,93.0,591.0,21.0,8.0,38.1,11.0,52.4,432.0,1766.0,518.0,11.0,10.0,10.0,37.0,16.0,439.0,88.0
