player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,9.0,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,711.0,680.0,30.0,17.0,0.0,2.0,4,13.0,0.0,0.0,0.0,0.0,611.0,1.0,6.0
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,904.0,835.0,65.0,23.0,4.0,7.0,17,5.0,12.0,7.0,3.0,0.0,810.0,4.0,2.0
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,1679.0,1452.0,215.0,71.0,14.0,6.0,150,13.0,114.0,45.0,54.0,0.0,1303.0,12.0,28.0
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,1272.0,1207.0,61.0,45.0,0.0,6.0,0,3.0,0.0,0.0,0.0,0.0,1095.0,4.0,8.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,10.0,9.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,165.0,155.0,10.0,7.0,2.0,1.0,1,2.0,1.0,0.0,0.0,0.0,143.0,0.0,3.0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,1582.0,1462.0,106.0,85.0,1.0,42.0,36,7.0,8.0,1.0,7.0,0.0,1271.0,14.0,17.0
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,1056.0,985.0,58.0,54.0,0.0,37.0,5,3.0,0.0,0.0,0.0,0.0,678.0,13.0,11.0
Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,481.0,433.0,46.0,10.0,1.0,2.0,151,24.0,12.0,0.0,11.0,0.0,245.0,2.0,32.0
Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,396.0,359.0,36.0,17.0,1.0,4.0,33,5.0,14.0,13.0,1.0,0.0,308.0,1.0,12.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,2062.0,1705.0,346.0,77.0,22.0,32.0,168,198.0,71.0,10.0,52.0,0.0,1553.0,11.0,23.0
Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,34.0,34.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,66.0,66.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,268.0,245.0,22.0,6.0,1.0,0.0,44,0.0,16.0,8.0,7.0,0.0,193.0,1.0,8.0
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,305.0,293.0,12.0,0.0,0.0,2.0,39,7.0,1.0,0.0,1.0,0.0,196.0,0.0,17.0
Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,358.0,289.0,66.0,17.0,6.0,1.0,54,1.0,36.0,23.0,13.0,0.0,228.0,3.0,14.0
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,1142.0,983.0,154.0,38.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,985.0,5.0,3.0
Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,98.0,97.0,1.0,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0
